VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
RAUWAHI,89,54,35,713,437,276,214,139,75,97,71,26,99,78,21,60,51,9,22,16,6,8,7,1,0,0,0,3,1,2,13,5,8
SAPAHI,135,76,59,2138,1153,985,1079,602,477,457,264,193,584,347,237,189,105,84,69,47,22,17,14,3,1,1,0,32,21,11,12,4,8
SHREENAGAR BAIRIYA,135,79,56,1116,599,517,335,228,107,106,81,25,136,99,37,64,50,14,10,10,0,1,1,0,2,2,0,2,2,0,1,1,0
SIHORWA,89,55,34,1134,655,479,431,276,155,184,105,79,203,127,76,73,54,19,12,11,1,4,4,0,13,4,9,14,7,7,54,44,10
SINHASANI,139,73,66,1428,835,593,547,338,209,162,110,52,313,220,93,73,55,18,38,28,10,8,6,2,3,2,1,89,49,40,2,1,1
SISAHANIYA,45,26,19,858,487,371,369,258,111,197,158,39,56,49,7,37,29,8,19,16,3,3,3,0,0,0,0,3,3,0,7,0,7
TEDHAKATTI,25,14,11,914,587,327,336,251,85,111,86,25,157,123,34,64,51,13,21,18,3,1,1,0,0,0,0,3,1,2,10,4,6
TELKUWA,83,51,32,1060,581,479,437,291,146,232,176,56,191,150,41,127,99,28,47,35,12,6,5,1,3,2,1,17,8,9,13,10,3
TETARIYA,76,40,36,788,463,325,337,219,118,132,94,38,192,143,49,41,24,17,10,8,2,0,0,0,3,2,1,2,1,1,4,1,3
UCHIDIHA,167,83,84,1205,735,470,405,260,145,152,108,44,155,116,39,59,51,8,11,8,3,2,1,1,5,3,2,0,0,0,5,1,4
UMARJAN,217,128,89,1026,617,409,539,342,197,311,226,85,216,149,67,86,70,16,17,16,1,16,15,1,1,1,0,6,1,5,3,2,1
INSTITUTIONAL,23,22,1,154,149,5,470,466,4,342,328,14,598,560,38,189,169,20,57,56,1,11,10,1,2,2,0,3,3,0,12,12,0
